-0.0020,1.3786,-1.4390,0.7623,-1.0827
0.7196,0.3687,-0.7019,1.1568,0.5004
0.1243,0.6222,0.3371,0.0759,1.0670
-0.6756,0.3978,0.4159,0.3089,0.2168
0.7393,-0.6230,0.7930,0.1710,0.1921
-0.2377,-0.0843,-0.3795,0.7313,-0.4751
-0.6703,-0.6175,-0.3849,1.7028,0.0094
-0.1212,-0.3203,-0.2691,-0.4014,-1.3942
-0.5856,0.4217,-1.1007,-0.3975,0.7504
-0.8011,-0.8221,0.1530,0.6651,0.6404
0.2736,-0.3902,0.0985,-0.9685,0.9968
0.1319,0.4959,-0.9919,-1.2308,0.5616
2.2474,0.1058,1.2894,1.5270,0.1385
-0.1031,1.2476,-0.5745,-0.6582,0.9346
-0.6610,-0.2046,-0.6307,0.1144,-0.5543
-0.9502,0.8068,-0.2055,-0.4188,0.5876
0.3600,0.2631,0.2115,0.8099,-0.3035
0.2469,0.0023,-0.6118,0.5732,0.6457
-1.0739,-0.8484,-0.1009,-0.5960,-0.3514
-1.6774,-0.6291,0.8523,0.6043,0.4021
0.1632,0.8191,1.0009,-0.6956,0.8844
-0.0635,0.5103,-1.2519,0.5930,-0.6364
1.2042,0.3085,-0.8936,1.0178,-0.2448
1.1437,1.7477,0.9392,1.0085,0.6098
-1.6876,0.4936,0.8222,-0.0989,-0.1273
-1.3892,-0.9694,-0.1001,0.7927,0.3999
0.2023,-0.8374,1.0203,0.8648,-1.0964
-0.2614,0.1188,-1.5296,0.9389,-1.1632
0.7262,-0.2977,-0.4420,0.5668,-0.3611
-0.6396,-0.0062,-0.5736,0.1241,-0.1700
-0.6697,-1.1175,0.0145,-0.0685,1.4628
0.6662,0.9256,0.4273,-0.6822,1.4889
1.0650,0.5447,1.2792,-0.4011,0.1798
0.8050,1.2380,-0.2116,-0.7353,0.1130
1.1154,-0.6224,-0.1548,-0.6308,-0.6126
-1.0813,1.4223,-0.4750,0.3038,-0.3646
-0.8095,-0.8542,-1.3313,-0.8390,-0.6395
-0.0229,-1.3221,0.7738,-0.7626,1.3596
1.0731,0.6911,1.3209,-0.4342,0.6964
1.4669,0.0731,0.6091,-0.0048,0.9607
-0.1736,-0.0043,-0.1934,-0.3702,-0.1043
-1.6399,0.2193,-0.3838,-0.3569,-2.1051
-0.5743,-0.6544,-0.7987,-0.7441,-1.2871
1.2697,0.1894,-0.5422,0.7054,-1.6140
